address,stutia,stuatom,stuosmo
stride109f3y2z0q5ltv6ga3psr6sua8hgf5ndesat0gx,0,15437889,0
stride109fhpxjztun2s6plnyzxpsmctcz9cdj4uuulz4,0,0,129732
stride109hq6dan6hg8k6nklk6gh0t0ey204rgc49ceql,0,0,129709
stride109jq6ujse5aulm4a3m8dnkl7t362uyw7qyespn,10500000,0,0
stride109jutq7jyxqycls4fpn9shp9ep8370vyz3mzem,0,230787,265257
stride109kwf05m25zslkc442re3krjuhjhjcq8tjaurn,0,186459,202707
stride109pemm39vpe2av8hgryzvsnneqv27nlmv5djww,3259998,0,0
stride109pm5hshx3z4aj957mjzt4pwad9f2zrytse26s,0,1100048,191469
stride109pme5jey3ahxdpu8zeffpwhh7l8ayuagu8jug,0,189318,478676
stride109q5yk0nxagmtrwpejj29ft4vl4l7ve7mnattf,0,1044436,0
stride109qqzeclel260xh9e9gg84ead696jufq8m68ch,0,172736,564599
stride109rzcjz8rdalm8520jfatamc4gtednz3kdydkt,0,1051157,222495
stride109sj2varvep552c075yzx77cgnsqll9f0n6tps,0,156966,0
stride109utrn93ge9n6a7jsgjfy5h45rtflgts5nk8rz,0,0,3121662
stride109vhk7xfp4ws4drkh8gznfejfrmytqqgyjdtq8,0,950285,0
stride109xe63pprquaa9trm92pmyxnq4a4uw8e4c0zag,0,4123000,0
stride109y8lknr2rr5rydrechsfdjpukgu5dxwmjvzjr,5959998,0,0
stride109yj0f9un9s7t6rg8snylv0uddpu69qy46p6gq,5995039,0,0
stride109zaupk3ljscw580ank5maxj5kgx6gk8ya5mgy,0,134755,0
stride10a3savyr942fsal8jcg2lqyle6f6g0agkdutwm,8543380,0,0
stride10a42fwq9cyzha2a9rvg4ru39w3k8026qg65k98,0,1229066,1246704
stride10a4szqj5vfs3wxdyceduh6apatxtqcfzffmvlp,19978719,0,0
stride10a7vm7lctwsez0ex873y9s080a8s0clfma7lex,45195999,0,0
stride10a8kjztfrcnpjyavy7r9x34z0lekedvn4f4fw2,0,303144,323125
stride10a8uzrup3p492vag5a9xyy3thyaahm0gwk5rvh,0,170240,0
stride10a8xwps7g9q7v5th6vqsvh6mkgagythrk3fguk,0,243240,0
stride10a98ngl0c4kpr8nwjyed23krvx2cep72uf5u68,0,118005,214976
stride10a9t5he76y0up422htsjj0v6d50ar3tv9p7r4h,0,362311,0
stride10acgc5u6k90thjhltv2yuvlhpu89688hjz67k3,0,261287,0
stride10ad8ujnjen3pp2e779d38lqdgj0vtam8lr3wyj,53179999,0,0
stride10admv6zhkwvpryh0rhyjz9y0y48n2tc67p66k2,0,138268,128283
stride10aen3uas4xl3jw93u4r3ay33kyq2pkkdgv29ys,899979999,0,0
stride10agmv3hcsnkjskyatvdlt7khwk8dhhh6jrnnad,0,962084,0
stride10ahemef4lk9mpedn5jr78vzvstcq0vk8lhcygc,0,1049397,218009
