address,amount,denom,usd_value
dym1342xp4e3uy44cx6nh5p96rdkk0mutn6l5w38ct,9.647182,stutia,158.31025662000002
dym135twm24xhs4vf5ur9wv6eq3hugaq6r4t7xqn6x,17.375828,stutia,285.13733748
dym1366a2wwrq9n9rz0cwsmfddswe9mrjqsdkhje9m,36.061728,stutia,591.7729564800001
dym1368285e2sd2ext9k4nd4k4nc6mf0hgwcvhupf2,16.751216,stutia,274.88745456
dym13an9umjp4a6l35dgrt00lvvezdcp0339acqhe4,20.034568,stutia,328.76726088
dym13cxh2ra4z565yn4egnfsxd2pmwy2s0p9rzwtdy,7.134485,stutia,117.07689884999999
dym13es4yehpjvp6lye7rwq67cp7gdghw76m7ase7f,549.81934,stutia,9022.5353694
dym13ewjlzjythtgzt5s009sldrrxettewxdyhmdh9,27.705769,stutia,454.65166929000003
dym13gxtz8q8p6pc96kytzj05nnllgr2qt7tgv332r,10.406408,stutia,170.76915528
dym13hs4z424m8ewvz9h6jzzay0xk90ph6g2fahhrp,18.25694,stutia,299.59638540000003
dym13mkyvne8j2lk5eqg04mlupqzd6musyd256htfa,68.935563,stutia,1131.23258883
dym13pqcjqqad4ku7xfl7weucz4xc5420dd9z6w903,89.103084,stutia,1462.18160844
dym13qu0sxrll2cmn53a0nh8rj26ff6t0qvq8rsgc9,629.58,stadym,4319.485422000001
dym13rewrjvpeuq75efgjc7x3qz3jpyqqzsq9kc4jn,13.829905,stutia,226.94874105
dym13swwrvkrmht4zjn37wupv7y3y5m9t4jjn5et6h,11.024604,stutia,180.91375164000002
dym13texehxvcyurthv3735pmu0t07wtdjegwu0uad,329.571392,stutia,5408.26654272
dym13u8dgxwd57yspdq02ak7hepwxdetx7n6095r5u,50.386508,stutia,826.84259628
dym13uyzenwp0phx6n4v245lemcsjzrr6d4qp5fps3,15.026774,stutia,246.58936133999998
dym13w0a7qrkkpvvmvmzk2qzhmyhf6ygvpmnjyl6sd,19.731872,stutia,323.80001952
dym13w0pmu2yseckxx95r42jnr72qnpac7wezknxys,51.666111,stutia,847.84088151
dym13w33wz3jc6g9hlmukvc6tfwgdthdj0jtm65udc,19.859254,stutia,325.89035814
dym13wvxn2rat4gj36m597aw63zyr6grylss6eed2z,54.562448,stutia,895.3697716800001
dym13y6chc4qpkfrm0ecqgeq4xt9w5ttgt70x7fuu3,25.329662,stutia,415.65975342
dym13yz6uxxjt4w9r7avd6nv3n324ev2tucc06e6xl,15.084646,stutia,247.53904086
dym142u6w4huwkrnynvvxju8q2e4z2w7du8wjhqn5f,9.510989,stutia,156.07532949
dym143n65k2lkuhrajjss7cekemnz93w5c2a00yg8p,6.602194,stutia,108.34200354
dym1448nmjn74lnzyss4xjra9w0e7lyt5jcjtr0ae7,7.506238,stutia,123.17736558
dym144t5dxlgr8qh78scxvv9kpvnpjuxt8k7d4j3x4,50.03703,stutia,821.1076623
dym144tetpf5prc9a7qyht6xrele5xsfg35esy2k8q,54.214194,stutia,889.65492354
dym144v3q9axjllrcs0xathhelevwvgk5hdwmg5tn4,21.974226,stutia,360.59704866000004
dym14686t0xt32phctpp8cwerk8gvzncha4gvce2d7,16.007349,stutia,262.68059709000005
dym14857qs2d2fjc290tnkmdehrq25uk5qc67xc829,18.135075,stutia,297.59658075
dym148duyj07ln7l8g6xu3lg92k6qp6094gv2rn0rr,6.685165,stutia,109.70355765
dym148uhr6wnj2p92cp3n5js3l509nzvqvfqujj80v,136.241075,stutia,2235.71604075
dym14cvx4eg6e9hj6wzkluw3tzwcya2wuk5gtrk52a,24.772578,stutia,406.51800498
dym14dflc3flsrgtu2sstv33pf0kyqm0d3sumph07c,22.447182,stutia,368.35825662
dym14eh4mv5tch4s3ssus2hvvzz3l7la32k598vxlx,10.285282,stutia,168.78147762
