,stutia,sttia,strd
stride15nfv2k9a3qts4crzp7he5jwy6mvt7z6u8ppn8p,1480000,1.48,0.7125249679773659
stride15pgw8u8yjzjegepdzc28qj0n0kxr5arqk246cy,1177620,1.17762,0.5669484140469632
stride15pp04psp0vej49x66nzhy447rtfjgqfq2nggcl,25000000,25.0,12.035894729347397
stride15ps70ptwxky9jxpuxuh3cmz3p4ansungy4yu4z,3000000,3.0,1.4443073675216875
stride15qs74cdm26lwvswkune3paaseqr8d4sta7m755,130000,0.13,0.06258665259260647
stride15r2r9e8j6gcgcrslsreysauy2hl7m20hap5ex7,50030000,50.03,24.086232532370012
stride15rcs7ls3wx9k894en8ceu7fsgf7pz4pjlhge85,1050000,1.05,0.5055075786325907
stride15sw2j9erj6g097hzmyttpjagvnjc8ueduz4n9r,10000000,10.0,4.8143578917389585
stride15t2jf9wmsqhypvray7cvepsdzhlxqexnseyn2n,6380000,6.38,3.0715603349294556
stride15t6d6dj89aap55a5uzsefqukd2hajspc7j5huh,2000000,2.0,0.9628715783477918
stride15ul5rn6c38aj2eh73xv529smplc6l9rahk099a,4480000,4.48,2.1568323354990535
stride15vp9l5hfq4k6vtzzx8lgg560h93tkrcr7mq2ch,16871470,16.87147,8.122529473973707
stride15xw9yljh2warnjvly96qkdqgafmw6s89lw0e8n,2909630,2.90963,1.4008000152540425
stride15ydrrj4awsq5263anasynhm8qcvjhjww8wkyk5,9980000,9.98,4.804729175955481
stride15yl9zj3sgnsk24svcsherlhvqtpggfe6rm5rep,9180000,9.18,4.419580544616363
stride15zn3mjmkyfp9xqwdkxh53pxdwcu28l640zau5m,1574480,1.57448,0.7580110213385156
stride1603tug886kkpqxk5xzg3hcec2panj5q3zsy43l,2120000,2.12,1.0206438730486593
stride160ugxmv6kdtkqfktvetgnf5jkqkku3mz7ke2el,5000000,5.0,2.4071789458694792
stride164dpffm974ayj7j9r33t4yhv7a6wu59qex2yw6,15000000,15.0,7.221536837608438
stride164ln42xa9jce3czpv2vawdmcnexkfva64l67s6,1980000,1.98,0.9532428625643138
stride164nhg00xquv6ym5nhd6vde2wkg8vqp89egwzn4,20000000,20.0,9.628715783477917
stride1665v0p4a4nfqrn6xsjf4wj2t37ljv2egwej9tl,11800000,11.8,5.680942312251971
stride167lkpcxaprjf28m2lyvu7p0q6gtkgydjrhrkh9,20980000,20.98,10.100522856868334
stride167rryh3ekkp9jdl8rdxval7du9kfsq65msq3z2,1167000,1.167,0.5618355659659365
stride167zkszf5qhwwkfkvy2dkcsyqqd7fge2h4qdemx,908200,0.9082,0.4372399837277322
stride169cz0gv4hrmt44ef0fh4kuk7gzz7xhc7e3qmyt,34980000,34.98,16.840623905302877
stride169ds0qcz8qcjycapzudlnrjjx9dh2z8ztp7rjr,4000000,4.0,1.9257431566955836
stride169mnda3kzjqsmckzmkpljsuldeaxhvj0849avk,10980000,10.98,5.286164965129377
stride16as2ednuwdng0255eazchgf6u9ys53s6y758cy,23780000,23.78,11.448543066555244
stride16c738qf9gelzjel4pppetzyz7u4g57lscx6yt7,7800000,7.8,3.7551991555563875
stride16cemgtx5cwuxzfprp7zg96pmkpkhzzyfz88sr0,4500000,4.5,2.1664610512825315
stride16cj6gm7udr8cqxr36khpvhrngle98689qgs5wz,8000000,8.0,3.851486313391167
stride16cru6vryrdkmks5jjntjv5uh6mj02a8s2kq7ty,929980000,929.98,447.7256552159397
stride16dxa8kauj4gsepe26ljp5eglv59aqarj47xveh,500000,0.5,0.24071789458694795
stride16exheq7pft9j7j75pddc2rmgc62qr2mxe2r7nl,101940000,101.94,49.07756434838694
stride16g7l803krlsf68hhlfl5maaj4kp35sl3feqhe2,14940000,14.94,7.192650690258004
stride16h2ynrzwhxgjnd0hswkvdvq9nav9kklq08fhf4,1735172828,1735.172828,835.3742998012807
stride16hga6h5x2zhhewpamxmvn6gel5akcn4jp0w8jy,480000,0.48,0.23108917880347
stride16huhxe95r0es9r2fu9erqtqk9c8hyh75g7dt38,280000,0.28,0.13480202096869084
stride16k0afjcaasf57nc0ftl089hxy0txldwrm3gtad,9980000,9.98,4.804729175955481
stride16njlmydykjrst37myjdwjsem0wss7rrwtqaz45,12600000,12.6,6.066090943591088
stride16rpj78hazd2teu7j6w8kg38avu0xhthvxp5wcz,25000000,25.0,12.035894729347397
stride16rum007k924k6j3s69c22axu7gql87yn0rnlwd,880000,0.88,0.42366349447302837
stride16sknqh6mfamcymz5pjc4pe9xg0zrl8prhk033x,150000,0.15,0.07221536837608437
stride16te6a6zu64l5ym3ywx6utyfaa37yuae0ghcm90,5762620,5.76262,2.7743315074092756
stride16x7erzpquz5xxv6sduazrt6ruetwu7v6x2flrt,9857550,9.85755,4.745777363571137
stride172cq5a9jw675yqdrap2vq2ash4ma9dxag822w0,2750400,2.7504,1.3241409945438831
